record_id,title,process_category,record_type,date,owner,experiment_notes,failure_mode,parameters,validation_outcome,severity,tags,source_file
PKAI-0023,Failure Analysis validation summary 23,Failure Analysis,validation_summary,2024-01-30,A. Patel,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-005.",yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,medium,"[""failure-analysis"", ""validation_summary"", ""yield-loss""]",process_notes/failure_analysis/validation_summary_0023.md
PKAI-0024,Validation Testing parameter change 24,Validation Testing,parameter_change,2024-01-31,A. Patel,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,low,"[""parameter_change"", ""validation-testing"", ""validation-threshold-miss""]",process_notes/validation_testing/parameter_change_0024.md
PKAI-0025,Battery Process Optimization experiment note 25,Battery Process Optimization,experiment_note,2024-02-01,A. Patel,Observed coating uniformity drift during run review. Equipment EQ-007 and material batch MB-2024-1024 were checked against the current validation threshold.,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,medium,"[""battery-process-optimization"", ""coating-uniformity-drift"", ""experiment_note""]",process_notes/battery_process_optimization/experiment_note_0025.md
PKAI-0026,Materials Characterization qa record 26,Materials Characterization,qa_record,2024-02-02,A. Patel,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1025.,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,medium,"[""materials-characterization"", ""qa_record"", ""thermal-cycling-impedance-drift""]",process_notes/materials_characterization/qa_record_0026.md
PKAI-0027,Manufacturing QA maintenance log 27,Manufacturing QA,maintenance_log,2024-02-03,J. Rivera,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-009.",increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",warning,medium,"[""increased-defect-rate"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0027.md
PKAI-0028,Equipment Maintenance failure report 28,Equipment Maintenance,failure_report,2024-02-04,M. Chen,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",warning,low,"[""calibration-offset"", ""equipment-maintenance"", ""failure_report""]",process_notes/equipment_maintenance/failure_report_0028.md
PKAI-0029,Failure Analysis validation summary 29,Failure Analysis,validation_summary,2024-02-05,N. Brooks,Observed material batch inconsistency during run review. Equipment EQ-011 and material batch MB-2024-1028 were checked against the current validation threshold.,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,medium,"[""failure-analysis"", ""material-batch-inconsistency"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0029.md
PKAI-0030,Validation Testing parameter change 30,Validation Testing,parameter_change,2024-02-06,R. Singh,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1029.,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,high,"[""parameter_change"", ""sensor-anomaly"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0030.md
PKAI-0031,Battery Process Optimization experiment note 31,Battery Process Optimization,experiment_note,2024-02-07,M. Chen,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-013.",yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,high,"[""battery-process-optimization"", ""experiment_note"", ""yield-loss""]",process_notes/battery_process_optimization/experiment_note_0031.md
PKAI-0032,Materials Characterization qa record 32,Materials Characterization,qa_record,2024-02-08,R. Singh,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,low,"[""materials-characterization"", ""qa_record"", ""validation-threshold-miss""]",process_notes/materials_characterization/qa_record_0032.md
PKAI-0033,Manufacturing QA maintenance log 33,Manufacturing QA,maintenance_log,2024-02-09,R. Singh,Observed coating uniformity drift during run review. Equipment EQ-015 and material batch MB-2024-1032 were checked against the current validation threshold.,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,high,"[""coating-uniformity-drift"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0033.md
PKAI-0034,Equipment Maintenance failure report 34,Equipment Maintenance,failure_report,2024-02-10,A. Patel,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1033.,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,low,"[""equipment-maintenance"", ""failure_report"", ""thermal-cycling-impedance-drift""]",process_notes/equipment_maintenance/failure_report_0034.md
PKAI-0035,Failure Analysis validation summary 35,Failure Analysis,validation_summary,2024-02-11,R. Singh,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-017.",increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,medium,"[""failure-analysis"", ""increased-defect-rate"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0035.md
PKAI-0036,Validation Testing parameter change 36,Validation Testing,parameter_change,2024-02-12,A. Patel,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,medium,"[""calibration-offset"", ""parameter_change"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0036.md
PKAI-0037,Battery Process Optimization experiment note 37,Battery Process Optimization,experiment_note,2024-02-13,M. Chen,Observed material batch inconsistency during run review. Equipment EQ-001 and material batch MB-2024-1036 were checked against the current validation threshold.,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",warning,medium,"[""battery-process-optimization"", ""experiment_note"", ""material-batch-inconsistency""]",process_notes/battery_process_optimization/experiment_note_0037.md
PKAI-0038,Materials Characterization qa record 38,Materials Characterization,qa_record,2024-02-14,N. Brooks,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1037.,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,low,"[""materials-characterization"", ""qa_record"", ""sensor-anomaly""]",process_notes/materials_characterization/qa_record_0038.md
PKAI-0039,Manufacturing QA maintenance log 39,Manufacturing QA,maintenance_log,2024-02-15,J. Rivera,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-003.",yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,low,"[""maintenance_log"", ""manufacturing-qa"", ""yield-loss""]",process_notes/manufacturing_qa/maintenance_log_0039.md
PKAI-0040,Equipment Maintenance failure report 40,Equipment Maintenance,failure_report,2024-02-16,M. Chen,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,medium,"[""equipment-maintenance"", ""failure_report"", ""validation-threshold-miss""]",process_notes/equipment_maintenance/failure_report_0040.md
PKAI-0041,Failure Analysis validation summary 41,Failure Analysis,validation_summary,2024-02-17,J. Rivera,Observed coating uniformity drift during run review. Equipment EQ-005 and material batch MB-2024-1040 were checked against the current validation threshold.,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,medium,"[""coating-uniformity-drift"", ""failure-analysis"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0041.md
PKAI-0042,Validation Testing parameter change 42,Validation Testing,parameter_change,2024-02-18,M. Chen,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1041.,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,low,"[""parameter_change"", ""thermal-cycling-impedance-drift"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0042.md
PKAI-0043,Battery Process Optimization experiment note 43,Battery Process Optimization,experiment_note,2024-02-19,M. Chen,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-007.",increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,low,"[""battery-process-optimization"", ""experiment_note"", ""increased-defect-rate""]",process_notes/battery_process_optimization/experiment_note_0043.md
PKAI-0044,Materials Characterization qa record 44,Materials Characterization,qa_record,2024-02-20,N. Brooks,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,high,"[""calibration-offset"", ""materials-characterization"", ""qa_record""]",process_notes/materials_characterization/qa_record_0044.md
PKAI-0045,Manufacturing QA maintenance log 45,Manufacturing QA,maintenance_log,2024-02-21,R. Singh,Observed material batch inconsistency during run review. Equipment EQ-009 and material batch MB-2024-1044 were checked against the current validation threshold.,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,medium,"[""maintenance_log"", ""manufacturing-qa"", ""material-batch-inconsistency""]",process_notes/manufacturing_qa/maintenance_log_0045.md
PKAI-0046,Equipment Maintenance failure report 46,Equipment Maintenance,failure_report,2024-02-22,N. Brooks,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1045.,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,high,"[""equipment-maintenance"", ""failure_report"", ""sensor-anomaly""]",process_notes/equipment_maintenance/failure_report_0046.md
PKAI-0047,Failure Analysis validation summary 47,Failure Analysis,validation_summary,2024-02-23,M. Chen,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-011.",yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,low,"[""failure-analysis"", ""validation_summary"", ""yield-loss""]",process_notes/failure_analysis/validation_summary_0047.md
PKAI-0048,Validation Testing parameter change 48,Validation Testing,parameter_change,2024-02-24,R. Singh,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,high,"[""parameter_change"", ""validation-testing"", ""validation-threshold-miss""]",process_notes/validation_testing/parameter_change_0048.md
PKAI-0049,Battery Process Optimization experiment note 49,Battery Process Optimization,experiment_note,2024-02-25,A. Patel,Observed coating uniformity drift during run review. Equipment EQ-013 and material batch MB-2024-1048 were checked against the current validation threshold.,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,medium,"[""battery-process-optimization"", ""coating-uniformity-drift"", ""experiment_note""]",process_notes/battery_process_optimization/experiment_note_0049.md
PKAI-0050,Materials Characterization qa record 50,Materials Characterization,qa_record,2024-02-26,M. Chen,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1049.,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,medium,"[""materials-characterization"", ""qa_record"", ""thermal-cycling-impedance-drift""]",process_notes/materials_characterization/qa_record_0050.md
PKAI-0051,Manufacturing QA maintenance log 51,Manufacturing QA,maintenance_log,2024-02-27,N. Brooks,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-015.",increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,high,"[""increased-defect-rate"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0051.md
PKAI-0052,Equipment Maintenance failure report 52,Equipment Maintenance,failure_report,2024-02-28,J. Rivera,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,medium,"[""calibration-offset"", ""equipment-maintenance"", ""failure_report""]",process_notes/equipment_maintenance/failure_report_0052.md
PKAI-0053,Failure Analysis validation summary 53,Failure Analysis,validation_summary,2024-02-29,N. Brooks,Observed material batch inconsistency during run review. Equipment EQ-017 and material batch MB-2024-1052 were checked against the current validation threshold.,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,high,"[""failure-analysis"", ""material-batch-inconsistency"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0053.md
PKAI-0054,Validation Testing parameter change 54,Validation Testing,parameter_change,2024-03-01,R. Singh,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1053.,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,medium,"[""parameter_change"", ""sensor-anomaly"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0054.md
PKAI-0055,Battery Process Optimization experiment note 55,Battery Process Optimization,experiment_note,2024-03-02,J. Rivera,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-001.",yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,low,"[""battery-process-optimization"", ""experiment_note"", ""yield-loss""]",process_notes/battery_process_optimization/experiment_note_0055.md
PKAI-0056,Materials Characterization qa record 56,Materials Characterization,qa_record,2024-03-03,A. Patel,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,low,"[""materials-characterization"", ""qa_record"", ""validation-threshold-miss""]",process_notes/materials_characterization/qa_record_0056.md
PKAI-0057,Manufacturing QA maintenance log 57,Manufacturing QA,maintenance_log,2024-03-04,A. Patel,Observed coating uniformity drift during run review. Equipment EQ-003 and material batch MB-2024-1056 were checked against the current validation threshold.,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",warning,low,"[""coating-uniformity-drift"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0057.md
PKAI-0058,Equipment Maintenance failure report 58,Equipment Maintenance,failure_report,2024-03-05,R. Singh,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1057.,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,low,"[""equipment-maintenance"", ""failure_report"", ""thermal-cycling-impedance-drift""]",process_notes/equipment_maintenance/failure_report_0058.md
PKAI-0059,Failure Analysis validation summary 59,Failure Analysis,validation_summary,2024-03-06,A. Patel,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-005.",increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",failed,medium,"[""failure-analysis"", ""increased-defect-rate"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0059.md
PKAI-0060,Validation Testing parameter change 60,Validation Testing,parameter_change,2024-03-07,A. Patel,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,medium,"[""calibration-offset"", ""parameter_change"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0060.md
PKAI-0061,Battery Process Optimization experiment note 61,Battery Process Optimization,experiment_note,2024-03-08,M. Chen,Observed material batch inconsistency during run review. Equipment EQ-007 and material batch MB-2024-1060 were checked against the current validation threshold.,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,medium,"[""battery-process-optimization"", ""experiment_note"", ""material-batch-inconsistency""]",process_notes/battery_process_optimization/experiment_note_0061.md
PKAI-0062,Materials Characterization qa record 62,Materials Characterization,qa_record,2024-03-09,J. Rivera,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1061.,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,high,"[""materials-characterization"", ""qa_record"", ""sensor-anomaly""]",process_notes/materials_characterization/qa_record_0062.md
PKAI-0063,Manufacturing QA maintenance log 63,Manufacturing QA,maintenance_log,2024-03-10,A. Patel,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-009.",yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,medium,"[""maintenance_log"", ""manufacturing-qa"", ""yield-loss""]",process_notes/manufacturing_qa/maintenance_log_0063.md
PKAI-0064,Equipment Maintenance failure report 64,Equipment Maintenance,failure_report,2024-03-11,N. Brooks,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,medium,"[""equipment-maintenance"", ""failure_report"", ""validation-threshold-miss""]",process_notes/equipment_maintenance/failure_report_0064.md
